"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","collection","notes"
"stratus-tpf","Stratus Transaction Processing Facility (TPF)","framework","Stratus Computer","1982-1990s","production","legacy","ieee-db-stratus-32-psk-1d4564","kastner-author","Multi-tasking transaction-server framework; START / COMMIT / ABORT primitives; per-application message queues that can be dynamically redirected; two-phase commit across modules."
"stratus-stralink","StrataLINK","protocol","Stratus Computer","1981-1990s","production","legacy","ieee-db-stratus-32-psk-1d4564","kastner-author","High-speed coaxial inter-module link connecting the Stratus/32 processing modules; runs in dual-link parallel for fault tolerance."
"stratus-stranet","StrataNET","protocol","Stratus Computer","1982-1990s","production","legacy","ieee-db-stratus-32-psk-1d4564","kastner-author","Stratus inter-system networking software; lets multiple Stratus systems appear as one with transparent file/IPC and per-node password security."
"stratus-fms","Forms Management Facility","application","Stratus Computer","1982-1990s","production","legacy","ieee-db-stratus-32-psk-1d4564","kastner-author","Stratus screen/forms management subsystem for OLTP applications."
"motorola-68000","Motorola 68000 CPU","platform","Motorola","1979-1990s","production","legacy","ieee-db-stratus-32-psk-1d4564","kastner-author","16/32-bit CPU; ~$100/unit; four 68000s per Stratus CPU board (two pairs, two software-visible); enabled cost-effective hardware redundancy."
"two-phase-commit","Two-Phase Commit Protocol","protocol","industry","1978-present","emerging-commercial","mature","ieee-db-stratus-32-psk-1d4564","kastner-author","Distributed transaction commit protocol; Stratus/32 implementation uses Phase I Commit flag in file header and disk-mirrored journaling."
"disk-mirroring","Disk Mirroring (RAID-1 precursor)","platform","industry","1980-present","emerging","mature","ieee-db-stratus-32-psk-1d4564","kastner-author","Each Stratus disk has a duplicate on a separate controller; OS chooses less-busy or better-positioned disk for reads; transparent to applications."
"cobol","COBOL","language","industry","1959-present","mature","legacy-supported","ieee-db-stratus-32-psk-1d4564","kastner-author","Supported on Stratus/32 alongside PL/I, BASIC, FORTRAN, Pascal."
"pl-1","PL/I","language","industry","1964-present","mature","legacy","ieee-db-stratus-32-psk-1d4564","kastner-author","Supported on Stratus/32 TPF transaction servers."
"fortran","FORTRAN","language","industry","1957-present","mature","legacy-supported","ieee-db-stratus-32-psk-1d4564","kastner-author","Supported on Stratus/32."
"pascal","Pascal","language","industry","1970-present","mature","legacy","ieee-db-stratus-32-psk-1d4564","kastner-author","Supported on Stratus/32."
"basic-language","BASIC","language","industry","1964-present","mature","legacy","ieee-db-stratus-32-psk-1d4564","kastner-author","Supported on Stratus/32."
"stratus-continuous-processing","Stratus Continuous Processing","architecture","Stratus Computer","1980s-present","production","mature","stratus-banks-on-ft-cbn-1982-38dc47","kastner-author","Pair-and-spare hardware fault tolerance"
"motorola-68000","Motorola 68000","microprocessor","Motorola","1979-1990s","production","obsolete","stratus-banks-on-ft-cbn-1982-38dc47","kastner-author","Four chips per Stratus CPU board, paired off (OS code + user app code)"
"stratalink","Stratalink","networking","Stratus Computer","1980s-1990s","production","obsolete","stratus-banks-on-ft-cbn-1982-38dc47","kastner-author","Built-in OS-level networking; proprietary protocol; basis for hypothetical second-gen-to-first-gen compatibility"
"tranpro","Tranpro","transaction-software","Stratus Computer","1982","production","obsolete","stratus-banks-on-ft-cbn-1982-38dc47","kastner-author","Stratus transaction processing system with network support"
"forms-management-system-stratus","Stratus Forms Management System","application","Stratus Computer","1982","production","obsolete","stratus-banks-on-ft-cbn-1982-38dc47","kastner-author","Tool to create VDT forms"
"stratus-3270-terminal-support","Stratus 3270 Terminal Support","communication","Stratus Computer","1982","production","obsolete","stratus-banks-on-ft-cbn-1982-38dc47","kastner-author","Connect IBM-compatible VDTs to Stratus/32"
"stratus-3270-emulator","Stratus 3270 Emulator","communication","Stratus Computer","1982","production","obsolete","stratus-banks-on-ft-cbn-1982-38dc47","kastner-author","Stratus apps interactively access IBM-compatible host"
"x25-networking","X.25 Networking (Stratus implementation)","communication","Stratus Computer","1982","production","obsolete","stratus-banks-on-ft-cbn-1982-38dc47","kastner-author","Cross-vendor app-to-app communication"
"remote-diagnostics","Remote diagnostics (hardware + software)","service-pattern","industry","1980s-present","emerging-1982","mature","stratus-banks-on-ft-cbn-1982-38dc47","kastner-author","Stratus 7% maintenance vs 10-12% standard via remote dx"
"stratus-xa400","Stratus XA400","computing-system","Stratus Computer","1984-1987","production","obsolete","stratus-computer-is-down-mfg-ad-1985-881b7a","kastner-author","$446,350; 125 relative perf; $3,571 per unit; pre-XA2000 family"
"ibm-4381","IBM 4381","computing-system","IBM","1983-1990s","production","obsolete","stratus-computer-is-down-mfg-ad-1985-881b7a","kastner-author","$707,897 in 1984 comparison"
"hp-3000-68","HP 3000 Model 68","computing-system","Hewlett-Packard","1980s","production","obsolete","stratus-computer-is-down-mfg-ad-1985-881b7a","kastner-author","$437,754 in 1984 comparison"
"dec-vax-11-782","DEC VAX 11/782","computing-system","DEC","1980s","production","obsolete","stratus-computer-is-down-mfg-ad-1985-881b7a","kastner-author","$656,889 in 1984 comparison"
"manufacturing-shop-floor-computing","Manufacturing shop-floor computing","vertical-application","industry","1980s-present","emerging-1985","mature","stratus-computer-is-down-mfg-ad-1985-881b7a","kastner-author","FT/factory-of-the-future positioning"
"stratus-continuous-processing","Stratus Continuous Processing","architecture","Stratus Computer","1980s-present","production","mature","stratus-fault-tolerant-mkt-info-systems-1984-eb925f","kastner-author","Hardware-redundant pair-and-spare; four CPUs check each transaction"
"hardware-fault-tolerance","Hardware fault tolerance","architectural-pattern","industry","1980s-present","production","niche","stratus-fault-tolerant-mkt-info-systems-1984-eb925f","kastner-author","CPU and component redundancy as primary FT mechanism"
"software-fault-tolerance","Software fault tolerance","architectural-pattern","industry","1980s-present","production","mainstream","stratus-fault-tolerant-mkt-info-systems-1984-eb925f","kastner-author","OS/application-level FT as primary mechanism (Tandem, Auragen, etc.)"
"oltp-online-transaction-processing","OLTP (online transaction processing)","computing-pattern","industry","1970s-present","production","mature","stratus-fault-tolerant-mkt-info-systems-1984-eb925f","kastner-author","Workload class central to FT systems market"
"motorola-68000","Motorola MC 68000","microprocessor","Motorola","1979-1990s","production","obsolete","stratus-fault-tolerant-mkt-info-systems-1984-eb925f","kastner-author","32-bit chip used by many software-FT vendors"
"unix-rtr","Unix Real Time Reliable (Unix RTR)","operating-system","AT&T","1980s-1990s","production","obsolete","stratus-fault-tolerant-mkt-info-systems-1984-eb925f","kastner-author","AT&T modified Unix for 3B20D fault-tolerant processor"
"parallel-processing","Parallel processing (multi-chip)","computing-pattern","industry","1980s-present","emerging-1982","mature","stratus-foster-acm-speech-pr-1982-16a134","kastner-author","Foster's ACM 1982 keynote thesis: vanishing central processor; chips as building block"
"vanishing-central-processor","Vanishing central processor (Foster thesis)","computing-pattern","industry","1980s-present","emerging-1982","mature","stratus-foster-acm-speech-pr-1982-16a134","kastner-author","Conceptual frame for distributed/parallel systems"
"stratus-32","Stratus/32 Continuous Processing","computing-system","Stratus Computer","1981-1985","production","obsolete","stratus-foster-acm-speech-pr-1982-16a134","kastner-author","Foster's product reference"
"disaster-recovery-services","Disaster recovery services (Hot/Cold Sites)","service-pattern","industry","1980s-present","production","mature","stratus-ft-market-2b-1987-da450e","kastner-author","End-user revenue forecast $140M (1987) -> $340M (1997)"
"ft-pos-systems","Fault-tolerant POS systems","computing-system","industry","1980s-present","production","mature","stratus-ft-market-2b-1987-da450e","kastner-author","$25-45K range; NCR pushing"
"oltp-online-transaction-processing","OLTP (online transaction processing)","computing-pattern","industry","1970s-present","production","mature","stratus-ft-market-2b-1987-da450e","kastner-author","Brokerage/financial-services dominant FT segment"
"ft-pos-systems","Fault-tolerant POS systems","computing-system","industry","1980s-present","production","mature","stratus-ft-market-continued-1987-5105d7","kastner-author","$25-45K NCR systems; commoditizing FT"
"unix-fault-tolerant","Unix-based fault-tolerant systems","operating-system","industry","1980s-1990s","production","obsolete","stratus-ft-market-continued-1987-5105d7","kastner-author","Parallel Computers, Tolerant Systems approach"
"expandable-processor-count","Expandable processor count (Tandem low-cost)","architecture","Tandem Computers","1987","production","obsolete","stratus-ft-market-continued-1987-5105d7","kastner-author","1987 product family extending FT to lower price points"
"stratus-continuous-processing","Stratus Continuous Processing","architecture","Stratus Computer","1980s-present","production","mature","stratus-newcomers-tandem-eet-1982-24ae59","kastner-author","Self-checking components per cycle; hardware-based"
"tandem-guardian-os","Tandem Guardian OS","operating-system","Tandem Computers","1976-2000s","production","obsolete","stratus-newcomers-tandem-eet-1982-24ae59","kastner-author","Software-based FT with periodic CPU review"
"tandem-encompass-tps","Tandem Encompass TPS","transaction-software","Tandem Computers","1980s","production","obsolete","stratus-newcomers-tandem-eet-1982-24ae59","kastner-author","Tracks procedures; resumes interrupted activity from start"
"stratalink","Stratalink","networking","Stratus Computer","1980s-1990s","production","obsolete","stratus-newcomers-tandem-eet-1982-24ae59","kastner-author","Proprietary protocol for inter-Stratus communication"
"32-bit-architecture","32-bit architecture","computing-architecture","industry","1980s-present","emerging-1982","mature","stratus-newcomers-tandem-eet-1982-24ae59","kastner-author","Stratus claimed 32-bit advantage vs Tandem 16-bit internal data paths"
"intermarket-trading-system","Intermarket Trading System (ITS)","financial-platform","SIAC","1978-present","production","mature","stratus-newcomers-tandem-eet-1982-24ae59","kastner-author","NYSE/AMEX/regional exchange links; 30 stocks growing to 200; ran on Tandem"
"stratus-32","Stratus/32 Continuous Processing System","computing-system","Stratus Computer","1981-1985","production","obsolete","stratus-olivetti-europe-1982-f4ae50","kastner-author","32-bit super mini fault-tolerant; first product; $150K-$300K"
"oem-integration-channel","OEM integration channel (Stratus-into-Olivetti)","channel-pattern","industry","1980s-present","production","mature","stratus-olivetti-europe-1982-f4ae50","kastner-author","Stratus-32 as core of Olivetti's own systems"
"oltp-online-transaction-processing","OLTP (online transaction processing)","computing-pattern","industry","1970s-present","production","mature","stratus-sequoia-comeback-marlboro-1987-e725fa","kastner-author","Sequoia 200 series, Stratus, IBM System/88 all targeting this segment"
"ibm-system-88","IBM System/88","computing-system","IBM","1986-1990s","production","obsolete","stratus-sequoia-comeback-marlboro-1987-e725fa","kastner-author","Rebranded Stratus systems sold/resold by IBM under 1987 OEM agreement"
"sequoia-200-series","Sequoia 200 series","computing-system","Sequoia Systems","1987","production","obsolete","stratus-sequoia-comeback-marlboro-1987-e725fa","kastner-author","Released October 1987 at $350,000; conceived 1982 with 'string of false starts'"
"stratus-xa2000-family","Stratus XA2000 family","computing-system","Stratus Computer","1987-1990s","production","obsolete","stratus-xa2000-aba-banking-journal-ad-1987-ce9ddf","kastner-author","Models 110/120/130/140; Model 140 = 50+ TPS; 3x XA600 power"
"stratus-xa600","Stratus XA600","computing-system","Stratus Computer","1985-1987","production","obsolete","stratus-xa2000-aba-banking-journal-ad-1987-ce9ddf","kastner-author","Predecessor to XA2000; previously the most powerful hardware-FT system available"
"modular-online-upgrades","Modular online upgrades","service-pattern","Stratus Computer","1980s-present","production","mature","stratus-xa2000-aba-banking-journal-ad-1987-ce9ddf","kastner-author","Add boards while system running; XA2000 differentiator"
"stratus-xa2000-family","Stratus XA2000 family","computing-system","Stratus Computer","1987-1990s","production","obsolete","stratus-xa2000-launch-cw-1987-11913f","kastner-author","Models 110/120/130/140; Motorola 68020 16-MHz + 68881; single 40-slot chassis; online upgrades"
"stratus-vos","Stratus VOS Release 6.0","operating-system","Stratus Computer","1980s-present","production","mature","stratus-xa2000-launch-cw-1987-11913f","kastner-author","Release 6.0 with 32-bit data path + math coprocessor; eventually became Stratus' durable proprietary FT OS"
"ibm-system-88","IBM System/88","computing-system","IBM","1986-1990s","production","obsolete","stratus-xa2000-launch-cw-1987-11913f","kastner-author","IBM-rebranded Stratus systems; XA2000 expected to be added Feb 1987"
"tandem-nonstop-vlx","Tandem NonStop VLX","computing-system","Tandem Computers","1986-1990s","production","obsolete","stratus-xa2000-launch-cw-1987-11913f","kastner-author","Tandem flagship 50+ TPS; primary XA2000 competitor"
"motorola-68020","Motorola 68020","microprocessor","Motorola","1984-1990s","production","obsolete","stratus-xa2000-launch-cw-1987-11913f","kastner-author","16-MHz; XA2000 base CPU"
"motorola-68881","Motorola 68881 math coprocessor","microprocessor","Motorola","1984-1990s","production","obsolete","stratus-xa2000-launch-cw-1987-11913f","kastner-author","Floating-point coprocessor; financial-modeling target"
"ibm-3090","IBM 3090","computing-system","IBM","1985-1990s","production","obsolete","stratus-xa2000-launch-cw-1987-11913f","kastner-author","Mainframe class against which XA2000 high-end positioned"
"oltp-systems","Online Transaction Processing (OLTP)","application","","","","active","encore-b7c40d","kastner-author",""
"ibm-cics","IBM CICS TP Monitor","platform","","","","active","encore-b7c40d","kastner-author",""
"ibm-db2","IBM DB2","application","","","","active","encore-b7c40d","kastner-author",""
"ibm-mainframe-zarch","IBM zSeries Mainframe","hardware","","","","active","encore-b7c40d","kastner-author",""
"rdbms","Relational Database (RDBMS)","application","","","","current","encore-b7c40d","kastner-author",""
"unix","UNIX (various)","platform","","","","current","encore-b7c40d","kastner-author",""
"tpc-c","TPC-C Benchmark","standard","","","","legacy","encore-b7c40d","kastner-author",""
"encore-series90","Encore Computer Series 90","hardware","","","","discontinued","encore-b7c40d","kastner-author",""
"raid","RAID Disk Storage","storage","multiple","1987-","mature","legacy-supported","ft-mitfor~1-a56a9d","kastner-author","Redundant Array of Independent Disks; mentioned as hardware HA option"
"client-server","Client-Server Architecture","framework","multiple","1988-1998","mature","legacy","ft-mitfor~1-a56a9d","kastner-author","Multi-tier client-server cited as driver of increased failure risk"
"rdbms","Relational Database Management System","application","multiple","1980-","mature","current","ft-mitfor~1-a56a9d","kastner-author","RDBMS and OLTP software cited as ensuring data recoverability"
"oltp","Online Transaction Processing","application","multiple","1980-","mature","current","ft-mitfor~1-a56a9d","kastner-author","OLTP cited as critical workload dependent on HA"
"heartbeat-failover","Heartbeat Failover Protocol","protocol","multiple","1990-","mature","legacy-supported","ft-mitfor~1-a56a9d","kastner-author","Classic primary-secondary failover using periodic heartbeat messages"
"systems-management-software","Systems Management Software","application","multiple","1990-","emerging","current","ft-mitfor~1-a56a9d","kastner-author","Cited as future source of application-level failover improvement"
"desktop-software","Desktop Software","application","multiple","1985-","mature","current","ft-mitfor~1-a56a9d","kastner-author","Noted as still prone to failure in 1995"
"vpn","Virtual Private Network (VPN)","protocol","Various","1990s-2000s","mature","{'lifecycle_current': 'active', 'notes': 'VPN technology remains active. Known answer applied.', 'source': 'known'}","goremote-profile-5-2a-8fa814","kastner-author","Core security requirement for remote workers; GoRemote supports IPSEC and SSL VPN options."
"ipsec","IPSec (IP Security)","protocol","IETF","1990s-2000s","mature","{'lifecycle_current': 'active', 'notes': 'IPSec is active standard-current. Known answer applied.', 'source': 'known'}","goremote-profile-5-2a-8fa814","kastner-author","VPN protocol option offered by GoRemote for remote workers and branch offices."
"ssl-vpn","SSL VPN","protocol","Various","2000s","emerging","{'lifecycle_current': 'active', 'notes': 'SSL VPN is active and mature. Known answer applied.', 'source': 'known'}","goremote-profile-5-2a-8fa814","kastner-author","Alternative VPN option to IPSec; offered by GoRemote as managed VPN."
"dsl-broadband","DSL Broadband","protocol","Various ISPs","1990s-2000s","growing","{'lifecycle_current': 'mature', 'notes': 'DSL broadband is mature. Known answer applied.', 'source': 'known'}","goremote-profile-5-2a-8fa814","kastner-author","Replacing frame relay for fixed remote/SOHO sites at lower cost; preferred by GoRemote for fixed broadband."
"cable-broadband","Cable Broadband","protocol","Various MSOs","1990s-2000s","growing","{'lifecycle_current': 'active', 'notes': 'Cable broadband is active. Known answer applied.', 'source': 'known'}","goremote-profile-5-2a-8fa814","kastner-author","Alternative to DSL for fixed remote worker connectivity."
"frame-relay","Frame Relay","protocol","Various Telcos","1980s-2000s","declining","{'lifecycle_current': 'discontinued', 'notes': 'Frame Relay is discontinued. Known answer applied.', 'source': 'known'}","goremote-profile-5-2a-8fa814","kastner-author","Legacy WAN protocol being replaced by DSL/cable; costs $600/month for branch circuit."
"isdn","ISDN (Integrated Services Digital Network)","protocol","Various Telcos","1980s-2000s","declining","{'lifecycle_current': 'end-of-life', 'notes': 'ISDN is end-of-life in most countries. Known answer applied.', 'source': 'known'}","goremote-profile-5-2a-8fa814","kastner-author","Regulated telecom service used historically at small remote offices; being displaced by broadband."
"dial-up-isp","Dial-up Internet Service","protocol","Various ISPs","1990s-2000s","declining","{'lifecycle_current': 'legacy-unsupported', 'notes': 'Dial-up ISP is legacy-unsupported. Known answer applied.', 'source': 'known'}","goremote-profile-5-2a-8fa814","kastner-author","Being rapidly displaced by broadband Ethernet; enterprises had dial-up ISP contracts that did not extend to broadband."
"wifi-80211-goremote","802.11 WiFi Wireless LAN","standard","IEEE / Various","2000s","growing","{'lifecycle_current': 'active', 'notes': '802.11 WiFi is active. Known answer applied.', 'source': 'known'}","goremote-profile-5-2a-8fa814","kastner-author","Enabling mobile workers to connect at access points; GoRemote supports 802.11-enabled WiFi laptops."
"personal-firewall","Personal Firewall","application","Various","2000s","growing","{'lifecycle_current': 'active', 'notes': 'Personal firewall software remains active and standard security practice. Built into Windows Defender, also available as standalone products (Sophos, Palo Alto, etc.). Evolved into next-generation firewalls (NGFW) but the category is active.', 'source': 'https://start.paloaltonetworks.com/forrester-wave-firewall-2024'}","goremote-profile-5-2a-8fa814","kastner-author","Security requirement for remote workers; part of GoRemote MobileOffice and Total Security Protection."
"goremote-mobileoffice","GoRemote MobileOffice Client","application","GoRemote Communications","2000s","current","{'lifecycle_current': 'discontinued', 'notes': 'GoRemote Internet Communications (formerly GRIC) was acquired by iPass Inc. for $76.5M in late 2005/early 2006. The GoRemote MobileOffice client and all GoRemote branded products were discontinued/absorbed into iPass. iPass itself was later acquired by Pareteum in 2019 and subsequently shut down.', 'source': 'https://www.rcrwireless.com/20051212/archived-articles/ipass-to-purchase-rival-goremote-for-76-5m'}","goremote-profile-5-2a-8fa814","kastner-author","Windows-based unified client simplifying network connection, VPN, firewall, authentication; single interface for fixed and mobile; supports auto-launch of enterprise apps."
"goremote-tsp","GoRemote Total Security Protection (TSP)","application","GoRemote Communications","2000s","current","{'lifecycle_current': 'discontinued', 'notes': 'GoRemote Total Security Protection (TSP) was a GoRemote Communications product, discontinued following the iPass acquisition of GoRemote in early 2006. The brand and product were absorbed into iPass and no longer exist.', 'source': 'https://www.rcrwireless.com/20051212/archived-articles/ipass-to-purchase-rival-goremote-for-76-5m'}","goremote-profile-5-2a-8fa814","kastner-author","Integrated security agent in MobileOffice; policy management, enforcement, adaptive location-based protection, automatic remediation, firewall/IDS."
"goremote-urc","GoRemote Universal Remote Control (Dashboard)","application","GoRemote Communications","2000s","current","{'lifecycle_current': 'discontinued', 'notes': 'GoRemote Universal Remote Control (Dashboard) was a GoRemote Communications product, discontinued following the iPass acquisition of GoRemote in early 2006.', 'source': 'https://www.rcrwireless.com/20051212/archived-articles/ipass-to-purchase-rival-goremote-for-76-5m'}","goremote-profile-5-2a-8fa814","kastner-author","Web-based IT management console for outsourced remote user network; covers network monitoring, security, user management, billing/settlement, customer care."
"goremote-tier-one","GoRemote TierOne Global Network","platform","GoRemote Communications","2000s","current","{'lifecycle_current': 'discontinued', 'notes': 'GoRemote TierOne Global Network was the managed global connectivity network operated by GoRemote Communications. Absorbed into iPass network infrastructure following the 2006 acquisition. The GoRemote brand and this network branding were discontinued.', 'source': 'https://www.rcrwireless.com/20051212/archived-articles/ipass-to-purchase-rival-goremote-for-76-5m'}","goremote-profile-5-2a-8fa814","kastner-author","Virtual global network across 150+ countries; 35,000+ access points; 9,000+ overseas; 1.2 billion access minutes/year run rate; aggregates 300+ telecom providers."
"single-sign-on","Single Sign-On (SSO)","standard","Various","2000s","growing","{'lifecycle_current': 'active', 'notes': 'SSO is active. Known answer applied.', 'source': 'known'}","goremote-profile-5-2a-8fa814","kastner-author","GoRemote MobileOffice portal supports single sign-on to enterprise applications."
"hp-adaptive-enterprise","HP Adaptive Enterprise","framework","Hewlett-Packard","2003-2009","emerging","obsolete","hp-analyst-phone-call-6-204870","kastner-author","HP strategic initiative; Kastner: too IT-facing, too little executive-management-facing; essentially 'rip and replace'."
"ibm-on-demand","IBM On Demand","framework","IBM","2002-2010s","emerging","legacy","hp-analyst-phone-call-6-204870","kastner-author","Contrasted with Adaptive Enterprise; 'too web-services-oriented and not enough infrastructure-metric-oriented' per Kastner."
"centrino","Intel Centrino (mobile platform)","platform","Intel","2003-2010","emerging","legacy","hp-analyst-phone-call-6-204870","kastner-author","HP cited as 'very late to market with Centrino-based notebooks'."
"linux","Linux","platform","Open Source","1991-present","growing","active","hp-analyst-phone-call-6-204870","kastner-author","HP has growing market share in Linux."
"unix","UNIX","platform","Multi-vendor","1969-present","mature","legacy","hp-analyst-phone-call-6-204870","kastner-author","HP has a lot of Unix integration expertise."
"ibm-mainframe","IBM Mainframe systems","platform","IBM","1964-present","mature","active","hp-analyst-phone-call-6-204870","kastner-author","HP has modest skills integrating with IBM mainframes."
"digital-imaging","Digital Imaging / Digital Photography","application","Multi-vendor","1990s-present","growing","active","hp-analyst-phone-call-6-204870","kastner-author","HP is a leader in digital imaging and printing."
"hp-openview","HP OpenView","platform","Hewlett-Packard","1990s-2006","mature","{'lifecycle_current': 'evolved', 'notes': 'HP OpenView was rebranded as HP BTO (Business Technology Optimization) Software in 2007 after HP acquired Mercury Interactive. HPE Software was subsequently sold to Micro Focus in 2017. The HP OpenView brand no longer exists; products live on under Micro Focus (now OpenText) portfolio.', 'source': 'https://en.wikipedia.org/wiki/HP_OpenView'}","hp-can-boost-soa-offerings-with-acquisit-48e07e","kastner-author","HP's enterprise systems management platform; cross-platform; trusted at many large enterprises; being extended with Mercury capabilities."
"soa","Service-Oriented Architecture (SOA)","framework","Various","2000s","growing","{'lifecycle_current': 'evolved', 'notes': 'SOA evolved into microservices/API-first architectures. Known answer applied.', 'source': 'known'}","hp-can-boost-soa-offerings-with-acquisit-48e07e","kastner-author","New application architecture paradigm; 90% of companies have SOA activities underway at end of 2006; affects full design-code-test-deploy-maintain lifecycle."
"systinet-registry","Systinet SOA Registry","application","Systinet / Mercury Interactive","2000s","current","{'lifecycle_current': 'discontinued', 'notes': 'Systinet was acquired by Mercury Interactive for $105M in early 2006, then absorbed into HP when HP acquired Mercury for $4.5B in late 2006. HP rebranded it as HP Systinet Registry. The product was subsequently part of HPE Software, sold to Micro Focus in 2017. Systinet as a distinct product brand has been discontinued; absorbed into a larger portfolio and largely obsoleted by API management platforms.', 'source': 'https://www.techmonitor.ai/technology/software/hp_launches_soa_governance_services_software'}","hp-can-boost-soa-offerings-with-acquisit-48e07e","kastner-author","SOA registry and governance repository; key capability Mercury acquired from Systinet; to be integrated into HP OpenView."
"mercury-loadrunner","Mercury LoadRunner","application","Mercury Interactive","2000s","current","{'lifecycle_current': 'active', 'notes': 'Mercury LoadRunner is still actively maintained. Mercury Interactive was acquired by HP in 2006, then sold to Micro Focus in 2017, then to OpenText. LoadRunner 2023 R1 was released July 2023 with ongoing updates. Currently OpenText LoadRunner.', 'source': 'https://en.wikipedia.org/wiki/LoadRunner'}","hp-can-boost-soa-offerings-with-acquisit-48e07e","kastner-author","Widely used load testing and monitoring tool for enterprise applications and infrastructure; already referenced in auditor-report-4-43ad9b."
"mercury-quality-center","Mercury Quality Center","application","Mercury Interactive","2000s","current","{'lifecycle_current': 'evolved', 'notes': 'Mercury Quality Center was acquired by HP in 2006, rebranded as HP Quality Center, then HP ALM (Application Lifecycle Management) in 2011. When HPE Software sold to Micro Focus in 2017, it became Micro Focus ALM Quality Center. Now part of OpenText (acquired Micro Focus in 2023). Product line continues under OpenText branding.', 'source': 'https://www.peerspot.com/questions/what-needs-improvement-with-micro-focus-alm-quality-center'}","hp-can-boost-soa-offerings-with-acquisit-48e07e","kastner-author","Test quality management center; developer-oriented tool brought by Mercury to HP OpenView."
"mercury-bac","Mercury Business Availability Center","application","Mercury Interactive","2000s","current","{'lifecycle_current': 'evolved', 'notes': 'Mercury Business Availability Center (BAC) was acquired by HP in 2006. HP rebranded Mercury products into HP Business Service Management (BSM) suite, which combined Mercury BAC with HP OpenView capabilities. Later part of HPE Software, sold to Micro Focus (2017), then OpenText (2023). Survived under multiple rebranding cycles.', 'source': 'https://www.techmonitor.ai/technology/software/hp_launches_soa_governance_services_software'}","hp-can-boost-soa-offerings-with-acquisit-48e07e","kastner-author","Mercury facility for business service availability monitoring; maps to HP OpenView Business Service Management and Consolidated Event & Performance Management."
"mercury-itgc","Mercury IT Governance Center","application","Mercury Interactive","2000s","current","{'lifecycle_current': 'evolved', 'notes': ""Mercury IT Governance Center (ITGC) was acquired by HP in 2006 as part of the $4.5B Mercury Interactive acquisition. Rebranded and integrated into HP's IT governance and compliance portfolio. Later evolved through HPE Software then Micro Focus. The original Mercury ITGC brand was discontinued; functionality absorbed into portfolio products."", 'source': 'https://www.cio.com/article/262781/mergers-acquisitions-hp-purchase-of-mercury-a-done-deal.html'}","hp-can-boost-soa-offerings-with-acquisit-48e07e","kastner-author","IT governance capability from Mercury; maps to HP OpenView IT Compliance and Governance area."
"sarbanes-oxley-404","Sarbanes-Oxley Section 404 (SOX 404)","standard","U.S. Congress","2002-present","current","{'lifecycle_current': 'standard-current', 'notes': ""Sarbanes-Oxley Section 404 remains a current and active legal compliance requirement for publicly traded companies in the US. SOX 404(a) applies to all SEC-registered public companies; 404(b) requires independent auditor attestation for accelerated filers. No changes to the law's validity; continues to drive significant IT and financial compliance investment."", 'source': 'https://www.cbh.com/insights/articles/sox-404/'}","hp-can-boost-soa-offerings-with-acquisit-48e07e","kastner-author","Regulatory compliance driver for IT governance software; cited as top meaning of IT governance among buyers."
"windows-vista","Microsoft Windows Vista / Vista Server","platform","Microsoft","2006-2007","pre-release","{'lifecycle_current': 'end-of-life', 'notes': 'Windows Vista reached end-of-life April 11, 2017. Known answer applied.', 'source': 'known'}","hp-can-boost-soa-offerings-with-acquisit-48e07e","kastner-author","Cited as customer distraction during HP-Mercury OpenView integration; introduction complicates 18-month integration cycle."
"ibm-zos","IBM z/OS (Mainframe OS)","platform","IBM","2001-present","mature","{'lifecycle_current': 'active', 'notes': 'IBM z/OS is actively developed and current. IBM z/OS 3.2 announced for Q3 2025 release to support the new z17 mainframe. IBM continues strategic investment in mainframe platform with AI capabilities, hybrid cloud integration.', 'source': 'https://www.crn.com/news/cloud/2025/ibm-sets-june-date-for-ai-agent-era-z17-mainframes'}","hp-can-boost-soa-offerings-with-acquisit-48e07e","kastner-author","OpenView can remotely monitor z/OS on IBM System z; but HP has not committed to deeper mainframe management penetration."
"esb-middleware","Enterprise Service Bus (ESB) / SOA Middleware","middleware","Various","2000s","growing","{'lifecycle_current': 'evolved', 'notes': 'ESB/SOA middleware has evolved into API gateways, microservices, and cloud-native integration platforms. Functionally equivalent to enterprise-service-bus entry. The Oracle SOA Suite and IBM App Connect are examples of ESB concepts evolved into modern integration platforms.', 'source': 'https://www.amraandelma.com/soa-marketing-statistics/'}","hp-can-boost-soa-offerings-with-acquisit-48e07e","kastner-author","Referenced as subject of related Aberdeen research (June 2006); key SOA infrastructure component."
"application-mapping","Application Mapping / Dependency Mapping","application","Mercury Interactive","2000s","current","{'lifecycle_current': 'active', 'notes': 'Application dependency/mapping technology is active and growing rapidly. Market projected to reach $5.96B; top tools include Faddom, ServiceNow, Device42, ManageEngine. Driven by cloud migration, microservices complexity, and ITSM requirements. The concept evolved from manual documentation to automated real-time discovery.', 'source': 'https://faddom.com/best-application-dependency-mapping-solutions-top-10-in-2025/'}","hp-can-boost-soa-offerings-with-acquisit-48e07e","kastner-author","Developer-oriented capability Mercury brings to HP OpenView; helps visualize application dependencies."
"field-sales-education","Field Sales Preparation & Education Program","framework","Aberdeen Group","2001","emerging","unknown [REVIEW]","hp-compaq-blackmore-7-7f30a3","kastner-author","Aberdeen offering: iterative, updatable field-organization messaging program for pre-merger and post-merger stages."
